,年份,自记最大风速,定时最大风速
0,1963,22.9,20.0
1,1964,19.536,16.0
2,1965,19.536,16.0
3,1966,22.9,20.0
4,1967,17.854,14.0
5,1968,22.9,20.0
6,1969,21.218,18.0
7,1970,21.053008083965175,18.0
8,1971,17.71516666656208,14.0
9,1972,21.887468438315945,19.0
10,1973,17.71516666656208,14.0
11,1974,21.053008083965175,18.0
12,1975,15.211785603509759,11.0
13,1976,18.549627020912855,15.0
14,1977,16.880706312211306,13.0
15,1978,17.71516666656208,14.0
16,1979,17.71516666656208,14.0
17,1980,14.188802695857385,12.0
18,1981,14.883359471179075,16.0
19,1982,13.891135506433804,13.0
20,1983,15.875583435924346,11.0
21,1984,15.577916246500765,17.0
22,1985,11.90668757694326,14.0
23,1986,14.585692281755492,11.0
24,1987,11.609020387519678,11.0
25,1988,10.914463612197988,14.0
26,1989,9.922239647452717,12.0
27,1990,13.196578731112114,10.0
28,1991,13.891135506433804,9.0
29,1992,11.609020387519678,10.0
30,1993,11.212130801621571,11.0
31,1994,11.90668757694326,9.0
32,1995,9.922239647452717,11.0
33,1996,10.219906836876298,10.0
34,1997,8.930015682707445,8.0
35,1998,10.219906836876298,12.0
36,1999,9.922239647452717,8.0
37,2000,13.891135506433804,10.0
38,2001,12.204354766366842,10.0
39,2002,11.90668757694326,9.0
40,2003,11.90668757694326,8.0
41,2004,11.90668757694326,8.0
42,2005,9.922239647452717,10.0
43,2006,11.90668757694326,10.0
44,2007,12.89891154168853,18.0
45,2008,11.90668757694326,24.5
46,2009,13.891135506433804,24.0
47,2010,12.402799559315895,20.0
统计15年一遇最大风速
21.463761249
统计30年一遇最大风速
23.7146496919
统计50年一遇最大风速
25.3544663503
